title,address,tel,avaliable,remark,twd97X,twd97Y,wgs84aX,wgs84aY
新北市私立微笑寶貝托嬰中心,新北市新莊區富國路100號3樓,22015200,25,,292540.3,2768647.83,121.421525452517,25.0253161705638
新北市私立香柏樹托嬰中心,新北市新莊區頭前路111號2樓,29900117,32,,296849.3,2771643.88,121.464323491485,25.0522374596554
新北市私立欣欣寶貝屋新莊托嬰中心,新北市新莊區中港路163、165號2樓,22772880,25,,295910.98,2770414.75,121.454983016701,25.041169535147
新北市私立新莊樂比托嬰中心,新北市新莊區幸福路801巷2號1樓,29928437,24,,295010.43,2771259.66,121.446086326214,25.0488245239799
新北市私立寶心托嬰中心,新北市泰山區仁義路15號1樓,85316493,25,,293622.52,2771979.32,121.432354214053,25.05536229969
新北市私立幸福寶貝托嬰中心,新北市泰山區全興路25巷8號1樓,85315545,20,,293669.98,2772364.59,121.432836817222,25.0588391429429
新北市私立比佛利托嬰中心,新北市泰山區仁義路11巷7號1、2樓,29090433,28,,293691.51,2772046.3,121.433040091195,25.0559650652961
新北市私立親親寶貝新泰園托嬰中心,新北市泰山區信華一街35號1樓,29926799,31,,294465.17,2770840.83,121.4406690257,25.0450593913353
新北市私立歡樂寶貝熊托嬰中心,新北市淡水區民權路73號1樓(門牌合併函73號1樓、75號2樓),88097335,15,,296395.69,2781212.85,121.460150865333,25.138639815721
新北市私立妮妮竹圍托嬰中心,新北市淡水區民權路169號1、2樓,28094635,22,,296382.05,2780900.76,121.460005086204,25.1358227097867
新北市私立安堡托嬰中心,新北市淡水區新春街148之3號1樓及夾層,26267799,45,,294595.39,2785919.15,121.442449241227,25.1811823181021
新北市私立芊萬田托嬰中心,新北市淡水區新市一路三段101巷168號1樓及夾層,26269676,45,,294917.66,2786564.51,121.445667763436,25.1869989576841
新北市私立維格爾托嬰中心,新北市汐止區新興路3號3樓,26499968,75,,316222.52,2773148.7,121.65639535768,25.0650982316821
新北市私立扶儷經典汐止托嬰中心,新北市汐止區建成路57巷7號1樓,26495668,17,,316796.8,2773958.05,121.662126593612,25.0723795062818
新北市私立神奇小子托嬰中心,新北市汐止區建成路39號2樓之2,26485386,15,,316881.16,2774014.76,121.662965507201,25.0728877800596
新北市私立哈寶寶托嬰中心,新北市汐止區建成路56巷27號2樓,26416401、26615330,15,,316887.8,2774068.59,121.663033916491,25.0733734070356
新北市私立明聲托嬰中心,新北市汐止區中興路89號3樓,26946646,23,,313815.2,2773057.32,121.632530999117,25.064376851697
新北市私立宜禾托嬰中心,新北市汐止區大同路二段265-1號1樓,26431605,34,,315900.89,2773268.77,121.653213316437,25.0661962621804
新北市私立維格爾欣悅托嬰中心,新北市汐止區福德二路215號2樓之1、2樓之2、2樓之3,26924768,116,,313351.42,2773075.08,121.627935085488,25.0645566535822
新北市私立芝?城托嬰中心,新北市汐止區新台五路二段148號1、2樓,2647-8689,24,,317010.89,2773306.36,121.664216879735,25.0664867450769
新北市私立宜禾ㄅ館托嬰中心,新北市汐止區大同路二段226號2樓,26471605,22,,315959.96,2773172.31,121.65379413197,25.0653228784413
