Column1._id,Column1.服務類別,Column1.機關類別,Column1.機關名稱,Column1.行政區域,Column1.AP編號,Column1.AP廠牌,Column1.AP_MAC,Column1.APIP,Column1.地址,Column1.線路編號,Column1.線路頻寬(M),Column1.經度,Column1.緯度,Column1.熱點類別,Column1.HUBSITE ID,Column1.HUBSITE NAME,Column1.英文地址
18,IH,區民活動中心,富福區民活動中心,萬華區,WH300018,Aruba,24:DE:C6:95:80:D0,10.114.64.86,臺北市萬華區康定路319號(東側入口3樓活動中心中央天花板),223Y220161,16M/3M,121.50093799999999,25.033428,市立圖書館,,,"No.319, Kangding Rd., Wanhua Dist., Taipei City, Taiwan"
19,IH,社會局,臺北市婦女館,萬華區,SL220055,Aruba,00:24:6C:4C:BF:20,10.114.64.89,臺北市萬華區艋舺大道101號3樓(教室門口上方),223Y221670,35M/6M,121.501272,25.033445999999998,市立圖書館,HB16000383,臺北市婦女館,"3F., No.101, Bangka Blvd., Wanhua Dist., Taipei City, Taiwan"
20,IH,社會局,臺北市婦女館,萬華區,SL220054,Aruba,24:DE:C6:8A:55:20,10.114.64.88,臺北市萬華區艋舺大道101號3樓(服務台旁座位區上方),223Y221670,35M/6M,121.501346,25.033461,市立圖書館,HB16000383,臺北市婦女館,"3F., No.101, Bangka Blvd., Wanhua Dist., Taipei City, Taiwan"
21,IH,市政機關,艋舺就業服務處,萬華區,WH220014,Aruba,00:24:6C:42:90:30,10.114.71.239,臺北市萬華區艋舺大道101號3樓(書寫區上方),223Y220704,16M/3M,121.50133500000001,25.033425,,HB16000363,萬華大樓　艋舺就業服務處,"3F., No.101, Bangka Blvd., Wanhua Dist., Taipei City, Taiwan"
22,IH,運動中心,萬華運動中心,萬華區,WH130022,Aruba,00:24:6C:42:20:A0,10.114.71.231,臺北市萬華區西寧南路6之1號(7F室內座位區),223Y219269,35M/6M,121.50678500000001,25.04739,,HB12000516,萬華運動中心,"No.6-1, Xining S. Rd., Wanhua Dist., Taipei City, Taiwan"
23,IH,運動中心,萬華運動中心,萬華區,WH130021,Aruba,24:DE:C6:92:8A:40,10.114.71.230,臺北市萬華區西寧南路6之1號(4F攀岩場座位區),223Y219268,35M/6M,121.507081,25.047473,,HB12000516,萬華運動中心,"No.6-1, Xining S. Rd., Wanhua Dist., Taipei City, Taiwan"
24,IH,運動中心,萬華運動中心,萬華區,WH130020,Aruba,00:24:6C:4C:B0:20,10.114.71.229,臺北市萬華區西寧南路6之1號(3F健身房重訓區),223Y219268,35M/6M,121.507034,25.047439999999998,,HB12000516,萬華運動中心,"No.6-1, Xining S. Rd., Wanhua Dist., Taipei City, Taiwan"
25,IH,運動中心,萬華運動中心,萬華區,WH130019,Aruba,00:24:6C:4C:B2:A0,10.114.71.228,臺北市萬華區西寧南路6之1號(3F健身房櫃台旁),223Y219268,35M/6M,121.506804,25.047466,,HB12000516,萬華運動中心,"No.6-1, Xining S. Rd., Wanhua Dist., Taipei City, Taiwan"
26,IH,運動中心,萬華運動中心,萬華區,WH130018,Aruba,9C:1C:12:7F:0D:60,10.114.71.235,臺北市萬華區西寧南路6之1號(2F高爾夫球訓練區後方),223Y219266,35M/6M,121.506809,25.047398,,HB12000516,萬華運動中心,"No.6-1, Xining S. Rd., Wanhua Dist., Taipei City, Taiwan"
27,IH,運動中心,萬華運動中心,萬華區,WH130017,Aruba,00:24:6C:42:22:50,10.114.71.234,臺北市萬華區西寧南路6之1號(2F高爾夫球訓練區櫃台旁),223Y219266,35M/6M,121.506821,25.047311999999998,運動中心,HB12000516,萬華運動中心,"No.6-1, Xining S. Rd., Wanhua Dist., Taipei City, Taiwan"
28,IH,運動中心,萬華運動中心,萬華區,WH130016,Aruba,00:24:6C:42:22:00,10.114.71.233,臺北市萬華區西寧南路6之1號(1F社區教室前方),223Y219264,35M/6M,121.50695800000001,25.047324,運動中心,HB12000516,萬華運動中心,"No.6-1, Xining S. Rd., Wanhua Dist., Taipei City, Taiwan"
29,IH,運動中心,萬華運動中心,萬華區,WH130015,Aruba,00:24:6C:42:1D:C0,10.114.71.232,臺北市萬華區西寧南路6之1號(1F櫃台前方),223Y219264,35M/6M,121.50708700000001,25.047348,運動中心,HB12000516,萬華運動中心,"No.6-1, Xining S. Rd., Wanhua Dist., Taipei City, Taiwan"
30,IH,市政機關,臺北車站旅客服務中心,中正區,ZZ220061,Aruba,24:DE:C6:8A:75:90,10.114.64.100,臺北市中正區北平西路3號(臺北車站1F大廳西南側-旅遊服務中心),223Y215374,16M/3M,121.516543,25.047313,,HB16000300,臺北車站旅遊服務中心,"1F., No.3, Beiping W. Rd., Zhongzheng Dist., Taipei City, Taiwan"
31,IH,圖書館,大直分館,中山區,ZS030003,Aruba,24:DE:C6:92:65:30,10.114.65.188,臺北市中山區大直街25號5樓(自修區之中心位置),225Y133744,16M/3M,121.546728,25.081823999999997,,HB06000675,大直分館,"5F., No.25, Dazhi St., Zhongshan Dist., Taipei City, Taiwan"
32,IH,圖書館,大直分館,中山區,ZS030002,Aruba,00:24:6C:3D:41:B0,10.114.65.187,臺北市中山區大直街25號4樓(外文圖書區上方天花板),225Y133744,16M/3M,121.546696,25.081831,,HB06000675,大直分館,"4F., No.25, Dazhi St., Zhongshan Dist., Taipei City, Taiwan"
33,IH,圖書館,大直分館,中山區,ZS030001,Aruba,00:24:6C:4C:A8:70,10.114.65.186,臺北市中山區大直街25號3樓(近筆電區旁上方天花板),225Y133744,16M/3M,121.54675900000001,25.081885999999997,,HB06000675,大直分館,"3F., No.25, Dazhi St., Zhongshan Dist., Taipei City, Taiwan"
34,IH,聯合醫院,萬芳醫院,文山區,WS040004,Aruba,24:DE:C6:8A:7A:F0,10.114.64.251,臺北市文山區興隆路三段111號2樓(眼科前方走道上方),2931Y032755,16M/3M,121.55803200000001,24.999803,,HB16000271,萬芳醫院,"2F., No.111, Sec. 3, Xinglong Rd., Wenshan Dist., Taipei City, Taiwan"
35,IH,聯合醫院,萬芳醫院,文山區,WS040003,Aruba,24:DE:C6:8A:8A:90,10.114.64.250,臺北市文山區興隆路三段111號2樓(中醫科門診前上方),2931Y032755,16M/3M,121.55814099999999,25.000014,,HB16000271,萬芳醫院,"2F., No.111, Sec. 3, Xinglong Rd., Wenshan Dist., Taipei City, Taiwan"
36,IH,聯合醫院,萬芳醫院,文山區,WS040002,Aruba,24:DE:C6:8A:6B:50,10.114.64.91,臺北市文山區興隆路三段111號1樓(復健科櫃台前上方),2931Y032755,16M/3M,121.558291,25.000138,,HB16000271,萬芳醫院,"1F., No.111, Sec. 3, Xinglong Rd., Wenshan Dist., Taipei City, Taiwan"
37,IH,聯合醫院,萬芳醫院,文山區,WS040001,Aruba,24:DE:C6:8A:12:70,10.114.64.90,臺北市文山區興隆路三段111號1樓(手扶梯前大廳上方),2931Y032755,16M/3M,121.558223,24.999793,,HB16000271,萬芳醫院,"1F., No.111, Sec. 3, Xinglong Rd., Wenshan Dist., Taipei City, Taiwan"
38,IH,市政機關,松山老人服務中心,松山區,SS260001,Aruba,00:24:6C:FC:C9:A0,10.114.66.25,臺北市松山區民生東路五段163-1號9樓(教室內天花板上),227Y234273,16M/3M,121.56286100000001,25.059325,,HB16000027,松山老人福利中心,"9F., No.163-1, Sec. 5, Minsheng E. Rd., Songshan Dist., Taipei City"
39,IH,圖書館,大安分館,大安區,DA030024,Aruba,00:24:6C:FC:BA:20,10.114.65.239,臺北市大安區辛亥路三段223號5樓(筆電區上方),223Y122913,60M/20M,121.55078799999998,25.016029,,HB06000672,大安分館,"5F., No.223, Sec. 3, Xinhai Rd., Da'an Dist., Taipei City"
40,IH,圖書館,古亭智慧圖書館,中正區,ZZ030009,Aruba,00:24:6C:4C:E0:00,10.114.71.222,臺北市中正區寧波西街286號(座位區),223Y200693,20M/5M,121.51043200000001,25.025532000000002,市立圖書館,HB15000695,古亭智慧圖書館,"No.286, Ningbo W. St., Zhongzheng Dist., Taipei City, Taiwan"
41,IH,圖書館,古亭智慧圖書館,中正區,ZZ030008,Aruba,00:24:6C:3D:48:70,10.114.71.221,臺北市中正區寧波西街286號(入口處),223Y200693,20M/5M,121.510434,25.025532000000002,市立圖書館,HB15000695,古亭智慧圖書館,"No.286, Ningbo W. St., Zhongzheng Dist., Taipei City, Taiwan"
42,IH,市政機關,替代役中心,中正區,ZZ220060,Aruba,9C:1C:12:7F:2B:DO,10.114.71.220,臺北市中正區汀洲路三段8號1樓(教室三),223Y198597,60M/20M,121.526881,25.017718,,HB15000561,兵役局替代役中心,"No.8, Zhongzheng Dist., Taipei City, Taiwan (R.O.C.)"
43,IH,市政機關,替代役中心,中正區,ZZ220059,Aruba,D8:C7:C8:79:FD:00,10.114.71.219,臺北市中正區汀洲路三段8號1樓(教室二),223Y198597,60M/20M,121.52688799999999,25.017718,,HB15000561,兵役局替代役中心,"No.8, Zhongzheng Dist., Taipei City, Taiwan (R.O.C.)"
